"","Obs","Time","Photo","Cond","Ci","Trmmol","VpdL","Area","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","PARi","PARo","Press","CsMch","HsMch","Status","filename","date","site","species","sppcode","ID"
"361","78","14541.8",8.98,"0.288","328","2.74","1","6","1","2.84","29.92","30.1","29.82","400.13","388.1","29.945","33.124","70.03","77.47","500.6","1300","51","99.17","1.22","0.201","111115","20200807_SM.xlsx","2020-08-07","J22","Celastrus orbiculatus","ceorb","ceorb-J22-1"
"371","79","14541.8",8.98,"0.288","328","2.74","1","6","1","2.84","29.92","30.1","29.82","400.13","388.1","29.945","33.124","70.03","77.47","500.6","1300","51","99.17","1.22","0.201","111115","20200807_SM.xlsx","2020-08-07","J22","Celastrus orbiculatus","ceorb","ceorb-J22-1"
"381","80","14885.5",12.7,"0.267","491","2.58","1.01","6","1","2.84","29.86","29.99","29.82","599.67","582.62","29.791","32.783","69.88","76.9","500.6","1300","62","99.16","2.82","0.2","111115","20200807_SM.xlsx","2020-08-07","J22","Celastrus orbiculatus","ceorb","ceorb-J22-1"
"391","81","14889.3",12.7,"0.267","491","2.58","1.01","6","1","2.84","29.86","30.01","29.82","599.73","582.6","29.788","32.78","69.88","76.9","500.6","1300","62","99.16","2.82","0.2","111115","20200807_SM.xlsx","2020-08-07","J22","Celastrus orbiculatus","ceorb","ceorb-J22-1"
"401","82","15155",14.7,"0.239","662","2.44","1.06","6","1","2.84","29.87","30.08","29.81","799.53","779.66","29.656","32.489","69.53","76.17","500.5","1300","72","99.15","4.64","0.208","111115","20200807_SM.xlsx","2020-08-07","J22","Celastrus orbiculatus","ceorb","ceorb-J22-1"
"411","83","15159.5",14.8,"0.239","661","2.44","1.06","6","1","2.84","29.88","30.08","29.81","799.72","779.74","29.654","32.489","69.49","76.13","500.3","1300","71","99.15","4.64","0.208","111115","20200807_SM.xlsx","2020-08-07","J22","Celastrus orbiculatus","ceorb","ceorb-J22-1"
"421","84","15600.5",15.5,"0.2","831","2.16","1.1","6","1","2.84","29.84","30.04","29.82","999.77","978.7","29.429","31.93","69.12","74.99","500.7","1300","43","99.17","6.58","0.173","111115","20200807_SM.xlsx","2020-08-07","J22","Celastrus orbiculatus","ceorb","ceorb-J22-1"
"431","85","15608",15.2,"0.199","832","2.15","1.1","6","1","2.84","29.84","30.03","29.82","999.58","978.82","29.431","31.921","69.16","75.01","500.7","1300","40","99.17","6.58","0.173","111115","20200807_SM.xlsx","2020-08-07","J22","Celastrus orbiculatus","ceorb","ceorb-J22-1"
"441","86","16016.5",16.3,"0.169","1290","1.91","1.14","6","1","2.84","29.8","29.99","29.81","1500.33","1477.43","29.23","31.444","68.85","74.06","500.6","1300","42","99.18","11.7","0.198","111115","20200807_SM.xlsx","2020-08-07","J22","Celastrus orbiculatus","ceorb","ceorb-J22-1"
"451","87","16021",16.4,"0.168","1290","1.89","1.14","6","1","2.84","29.8","30","29.81","1500.14","1477.16","29.233","31.43","68.85","74.02","500.6","1300","42","99.18","11.7","0.198","111115","20200807_SM.xlsx","2020-08-07","J22","Celastrus orbiculatus","ceorb","ceorb-J22-1"
"461","88","16024.8",16.3,"0.168","1290","1.9","1.14","6","1","2.84","29.8","29.99","29.81","1500.1","1477.23","29.226","31.431","68.83","74.02","500.6","1300","40","99.19","11.7","0.198","111115","20200807_SM.xlsx","2020-08-07","J22","Celastrus orbiculatus","ceorb","ceorb-J22-1"
